ds,y,x
2021-06-06 00:00:00,2159.0,12
2021-06-06 01:00:00,2041.0,11
2021-06-06 02:00:00,2037.0,11
2021-06-06 03:00:00,2122.0,10
2021-06-06 04:00:00,2056.0,10
2021-06-06 05:00:00,2080.0,11
2021-06-06 06:00:00,2035.0,11
2021-06-06 07:00:00,2101.0,13
2021-06-06 08:00:00,2142.0,15
2021-06-06 09:00:00,2088.0,17
2021-06-06 10:00:00,2183.0,18
2021-06-06 11:00:00,2095.0,20
2021-06-06 12:00:00,2188.0,21
2021-06-06 13:00:00,2213.0,21
2021-06-06 14:00:00,2178.0,21
2021-06-06 15:00:00,2149.0,21
2021-06-06 16:00:00,2154.0,21
2021-06-06 17:00:00,2155.0,20
2021-06-06 18:00:00,2132.0,19
2021-06-06 19:00:00,2158.0,19
2021-06-06 20:00:00,2109.0,18
2021-06-06 21:00:00,2148.0,18
2021-06-06 22:00:00,2225.0,17
2021-06-06 23:00:00,2184.0,16
2021-06-07 00:00:00,2087.0,14
2021-06-07 01:00:00,2124.0,14
2021-06-07 02:00:00,2158.0,13
2021-06-07 03:00:00,2139.0,13
2021-06-07 04:00:00,2150.0,13
2021-06-07 05:00:00,2094.0,13
2021-06-07 06:00:00,2150.0,13
2021-06-07 07:00:00,2170.0,15
2021-06-07 08:00:00,2130.0,17
2021-06-07 09:00:00,2046.0,19
2021-06-07 10:00:00,2052.0,20
2021-06-07 11:00:00,2109.0,21
2021-06-07 12:00:00,2158.0,23
2021-06-07 13:00:00,2086.0,22
2021-06-07 14:00:00,2109.0,22
2021-06-07 15:00:00,2147.0,22
2021-06-07 16:00:00,2140.0,20
2021-06-07 17:00:00,2067.0,19
2021-06-07 18:00:00,2088.0,18
2021-06-07 19:00:00,2067.0,16
2021-06-07 20:00:00,2159.0,15
2021-06-07 21:00:00,2084.0,14
2021-06-07 22:00:00,2174.0,15
2021-06-07 23:00:00,2063.0,17
2021-06-08 00:00:00,2073.0,18
2021-06-08 01:00:00,2052.0,18
2021-06-08 02:00:00,2002.0,18
2021-06-08 03:00:00,1958.0,18
2021-06-08 04:00:00,1981.0,17
2021-06-08 05:00:00,1955.0,17
2021-06-08 06:00:00,1984.0,16
2021-06-08 07:00:00,2002.0,18
2021-06-08 08:00:00,2080.0,20
2021-06-08 09:00:00,2059.0,21
2021-06-08 10:00:00,2025.0,22
2021-06-08 11:00:00,2123.0,23
2021-06-08 12:00:00,2092.0,25
2021-06-08 13:00:00,2054.0,24
2021-06-08 14:00:00,2067.0,24
2021-06-08 15:00:00,2028.0,24
2021-06-08 16:00:00,2107.0,24
2021-06-08 17:00:00,2035.0,24
2021-06-08 18:00:00,2078.0,24
2021-06-08 19:00:00,2080.0,23
2021-06-08 20:00:00,2021.0,21
2021-06-08 21:00:00,2073.0,20
2021-06-08 22:00:00,2081.0,19
2021-06-08 23:00:00,2011.0,19
2021-06-09 00:00:00,1953.0,18
2021-06-09 01:00:00,2016.0,18
2021-06-09 02:00:00,1989.0,18
2021-06-09 03:00:00,2039.0,17
2021-06-09 04:00:00,1989.0,17
2021-06-09 05:00:00,1908.0,17
2021-06-09 06:00:00,2061.0,17
2021-06-09 07:00:00,1968.0,18
2021-06-09 08:00:00,1992.0,19
2021-06-09 09:00:00,1994.0,20
2021-06-09 10:00:00,2132.0,21
2021-06-09 11:00:00,2103.0,22
2021-06-09 12:00:00,2099.0,24
2021-06-09 13:00:00,2053.0,24
2021-06-09 14:00:00,2185.0,24
2021-06-09 15:00:00,2117.0,24
2021-06-09 16:00:00,1995.0,23
2021-06-09 17:00:00,2073.0,23
2021-06-09 18:00:00,2063.0,22
2021-06-09 19:00:00,2028.0,21
2021-06-09 20:00:00,2147.0,21
2021-06-09 21:00:00,2091.0,20
2021-06-09 22:00:00,2147.0,19
2021-06-09 23:00:00,2070.0,18
