ds,y
2021-06-06 00:00:00,2359.0
2021-06-06 01:00:00,2241.0
2021-06-06 02:00:00,2237.0
2021-06-06 03:00:00,2322.0
2021-06-06 04:00:00,2256.0
2021-06-06 05:00:00,2280.0
2021-06-06 06:00:00,2235.0
2021-06-06 07:00:00,2301.0
2021-06-06 08:00:00,2342.0
2021-06-06 09:00:00,2288.0
2021-06-06 10:00:00,2383.0
2021-06-06 11:00:00,2295.0
2021-06-06 12:00:00,2388.0
2021-06-06 13:00:00,2413.0
2021-06-06 14:00:00,2378.0
2021-06-06 15:00:00,2349.0
2021-06-06 16:00:00,2354.0
2021-06-06 17:00:00,2355.0
2021-06-06 18:00:00,2332.0
2021-06-06 19:00:00,2358.0
2021-06-06 20:00:00,2309.0
2021-06-06 21:00:00,2348.0
2021-06-06 22:00:00,2425.0
2021-06-06 23:00:00,2384.0
2021-06-07 00:00:00,2287.0
2021-06-07 01:00:00,2324.0
2021-06-07 02:00:00,2358.0
2021-06-07 03:00:00,2339.0
2021-06-07 04:00:00,2350.0
2021-06-07 05:00:00,2294.0
2021-06-07 06:00:00,2350.0
2021-06-07 07:00:00,2370.0
2021-06-07 08:00:00,2330.0
2021-06-07 09:00:00,2246.0
2021-06-07 10:00:00,2252.0
2021-06-07 11:00:00,2309.0
2021-06-07 12:00:00,2358.0
2021-06-07 13:00:00,2286.0
2021-06-07 14:00:00,2309.0
2021-06-07 15:00:00,2347.0
2021-06-07 16:00:00,2340.0
2021-06-07 17:00:00,2267.0
2021-06-07 18:00:00,2288.0
2021-06-07 19:00:00,2267.0
2021-06-07 20:00:00,2359.0
2021-06-07 21:00:00,2284.0
2021-06-07 22:00:00,2374.0
2021-06-07 23:00:00,2263.0
2021-06-08 00:00:00,2273.0
2021-06-08 01:00:00,2252.0
2021-06-08 02:00:00,2202.0
2021-06-08 03:00:00,2158.0
2021-06-08 04:00:00,2181.0
2021-06-08 05:00:00,2155.0
2021-06-08 06:00:00,2184.0
2021-06-08 07:00:00,2202.0
2021-06-08 08:00:00,2280.0
2021-06-08 09:00:00,2259.0
2021-06-08 10:00:00,2225.0
2021-06-08 11:00:00,2323.0
2021-06-08 12:00:00,2292.0
2021-06-08 13:00:00,2254.0
2021-06-08 14:00:00,2267.0
2021-06-08 15:00:00,2228.0
2021-06-08 16:00:00,2307.0
2021-06-08 17:00:00,2235.0
2021-06-08 18:00:00,2278.0
2021-06-08 19:00:00,2280.0
2021-06-08 20:00:00,2221.0
2021-06-08 21:00:00,2273.0
2021-06-08 22:00:00,2281.0
2021-06-08 23:00:00,2211.0
2021-06-09 00:00:00,2153.0
2021-06-09 01:00:00,2216.0
2021-06-09 02:00:00,2189.0
2021-06-09 03:00:00,2239.0
2021-06-09 04:00:00,2189.0
2021-06-09 05:00:00,2108.0
2021-06-09 06:00:00,2261.0
2021-06-09 07:00:00,2168.0
2021-06-09 08:00:00,2192.0
2021-06-09 09:00:00,2194.0
2021-06-09 10:00:00,2332.0
2021-06-09 11:00:00,2303.0
2021-06-09 12:00:00,2299.0
2021-06-09 13:00:00,2253.0
2021-06-09 14:00:00,2385.0
2021-06-09 15:00:00,2317.0
2021-06-09 16:00:00,2195.0
2021-06-09 17:00:00,2273.0
2021-06-09 18:00:00,2263.0
2021-06-09 19:00:00,2228.0
2021-06-09 20:00:00,2347.0
2021-06-09 21:00:00,2291.0
2021-06-09 22:00:00,2347.0
2021-06-09 23:00:00,2270.0
